artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre
ASMR HD,3,37.333333333333336,Low,Low,Low,Instrumental,0.0,2.8166666666666664,0.0,sleep
ASTN,4,63.0,High,Low,Low,Vocal,25.0,2.4875,0.0,chill
ATB,5,61.0,Medium,High,Low,Vocal,0.0,3.806,60.0,techno
ATEEZ,4,68.25,Medium,High,Low,Vocal,0.0,3.3674999999999997,0.0,k-pop
ATFC,1,26.0,High,Medium,Low,Vocal,0.0,7.53,100.0,deep-house
ATLiens,4,45.75,High,High,Low,Vocal,25.0,2.7975,25.0,dub
ATR,1,21.0,Medium,Medium,Low,Mixed,0.0,3.72,100.0,afrobeat
ATTLAS,2,52.5,Medium,Medium,Low,Mixed,0.0,4.140000000000001,50.0,electronic
AURORA,1,79.0,Medium,Low,Low,Vocal,0.0,4.15,0.0,pop
AVIRA,2,27.0,Medium,High,Low,Vocal,0.0,3.6500000000000004,100.0,progressive-house
AVIWKILA,1,59.0,High,Medium,Low,Vocal,0.0,3.23,0.0,j-pop
AVOID,1,24.0,Medium,High,Low,Vocal,100.0,3.76,0.0,metalcore
AYLIVA,1,53.0,Medium,Medium,Low,Vocal,0.0,2.23,100.0,german
Aadesh Goud,1,42.0,Medium,Low,Low,Vocal,0.0,2.74,0.0,indian
Aamir Khan,2,45.5,Medium,Medium,Low,Vocal,0.0,3.71,50.0,folk
Aaren Hughes,1,62.0,Medium,Low,Low,Instrumental,0.0,2.21,0.0,piano
Aaron Carl,10,7.9,High,Medium,Low,Instrumental,0.0,4.686,0.0,detroit-techno
Aaron Espe,2,60.5,Medium,Low,Low,Vocal,0.0,2.8200000000000003,0.0,acoustic
Aaron Karo,1,20.0,Medium,High,High,Vocal,100.0,2.25,0.0,comedy
Aaron Keyes,2,44.0,Medium,Low,Low,Vocal,0.0,2.615,0.0,world-music
Aaron Kwok,12,20.666666666666668,Medium,Low,Low,Vocal,0.0,4.06,33.33333333333333,cantopop
Aaron Shirk,1,40.0,Medium,Medium,Low,Vocal,0.0,4.64,100.0,dub
Aaron Shust,4,47.5,Medium,Medium,Low,Vocal,0.0,4.54,0.0,world-music
Aaron Smith,24,27.166666666666668,High,High,Low,Vocal,4.166666666666666,5.82375,95.83333333333334,chicago-house
Aaron Tveit,3,32.0,Low,Low,Low,Vocal,33.33333333333333,3.466666666666667,66.66666666666666,show-tunes
Aaron Watson,1,41.0,Medium,Low,Low,Vocal,0.0,4.42,0.0,country
Aaron Wilburn,1,24.0,Medium,High,High,Vocal,0.0,1.11,0.0,comedy
Aaryan Shah,9,57.55555555555556,Medium,Medium,Low,Vocal,100.0,3.4122222222222223,11.11111111111111,soul
Aastha Gill,1,65.0,High,Medium,Low,Vocal,0.0,3.13,100.0,pop
Aazar,2,52.5,Medium,High,Low,Vocal,50.0,2.76,100.0,electronic
Ababeel,2,26.5,Low,Low,Low,Vocal,0.0,7.68,0.0,malay
Abandoned,6,37.333333333333336,Medium,Medium,Low,Vocal,0.0,4.0216666666666665,83.33333333333334,dubstep
Abayomy Afrobeat Orquestra,5,20.0,Medium,High,Low,Vocal,0.0,5.814,40.0,afrobeat
Abbath,1,16.0,Medium,High,Low,Mixed,0.0,4.62,0.0,black-metal
